# Network Connection Log
# Format: unix_ts,src_ip,dst_ip,dst_port,bytes_out,protocol,verdict
#
# Normal traffic (business hours, small payloads)
1715248800,192.168.1.1,8.8.8.8,53,512,udp,allowed
1715248801,192.168.1.2,8.8.4.4,53,512,udp,allowed
1715248802,192.168.1.3,93.184.216.34,80,2048,tcp,allowed
1715248803,192.168.1.4,1.1.1.1,443,8192,tcp,allowed
#
# --- PORT SCAN ---
# 192.168.1.100 probes 12 ports on 10.0.0.5 within 30 seconds
1715248900,192.168.1.100,10.0.0.5,21,512,tcp,blocked
1715248903,192.168.1.100,10.0.0.5,22,512,tcp,blocked
1715248906,192.168.1.100,10.0.0.5,23,512,tcp,blocked
1715248909,192.168.1.100,10.0.0.5,25,512,tcp,blocked
1715248912,192.168.1.100,10.0.0.5,80,512,tcp,allowed
1715248915,192.168.1.100,10.0.0.5,443,512,tcp,allowed
1715248918,192.168.1.100,10.0.0.5,3306,512,tcp,blocked
1715248921,192.168.1.100,10.0.0.5,5432,512,tcp,blocked
1715248924,192.168.1.100,10.0.0.5,8080,512,tcp,blocked
1715248927,192.168.1.100,10.0.0.5,8443,512,tcp,blocked
1715248929,192.168.1.100,10.0.0.5,9200,512,tcp,blocked
1715248930,192.168.1.100,10.0.0.5,6379,512,tcp,blocked
#
# --- LATERAL MOVEMENT ---
# 192.168.1.200 fans out to 6 internal hosts over SMB (port 445)
1715249000,192.168.1.200,192.168.1.10,445,1024,tcp,allowed
1715249020,192.168.1.200,192.168.1.20,445,1024,tcp,allowed
1715249040,192.168.1.200,192.168.1.30,445,1024,tcp,allowed
1715249060,192.168.1.200,192.168.1.40,445,1024,tcp,allowed
1715249080,192.168.1.200,192.168.1.50,445,1024,tcp,allowed
1715249100,192.168.1.200,192.168.1.60,445,1024,tcp,allowed
#
# --- DATA EXFILTRATION ---
# 192.168.1.50 pushes 15 MB outbound at 03:00 UTC (off-hours)
# 1715223600 = 2024-05-09 03:00:00 UTC
1715223600,192.168.1.50,203.0.113.100,443,15728640,tcp,allowed
#
# --- BLACKLISTED IPs ---
# Inbound probe from Tor exit node 185.220.101.1
1715249200,185.220.101.1,192.168.1.1,22,4096,tcp,blocked
# Internal host 192.168.1.30 connecting out to another blacklisted IP
1715249300,192.168.1.30,185.220.101.2,9001,2048,tcp,allowed
